,text
35,"Hey Everyone, up for review today is the McFarlane Toys DC Multiverse Carrie Kelley Robin  from the comic\film Batman:The Dark Night Returns.
#mcfarlanetoys #batman #robin #dcmultiverse #carriekelley #darkknightreturns #actionfigures #toyreview #dccomics 

https://t.co/5uQ5bxEQ0k https://t.co/4hyM1kmAgD"
36,"@inkypyrite @Guslivesagain On the cowl I kinda agree, but it fits Ben affleck face, the bat symbol is supposed to be big, imagine gonna fight criminals at night and you have a microscopic symbol, it also matches affleck Batman physique, he’s supposed to be the Batman from the dark knight returns, it works"
37,"@Asr94David @YoleocomicsDC La clave de la pelea entre Batman y Superman, que va a la esencia de los dos personajes en ""The dark night returns"" elevado a un épica única, se transforma en una excusa ridícula. Se pudo haber hecho bien, pero se perdió la oportunidad para DC."
38,"@FreddsCorner Mallrats, chasing Amy, jay and silent bob strike back, star wars 4-6, batman, batman returns, batman forever, the dark night, beetlejuice, 3 ninjas, 3 ninjas kick back, teenager mutant ninja turtles. X-Men, pretty much all the MCU movies, the producers,"
39,"@joshinongo Joa erstmal year one danach kiling joke, death of the family, long halloween dann noch death in the family 
dann kannst du noch the dark night Returns die batman detektiv comics, batman-joker, wer zuletzt lacht lesen so als Einstieg haha"
40,"Ok. Back on tonight to finish watching Batman Returns (I fell asleep the other night) and I’m realising that amongst the dark humour &amp; Burtonesque relish, there’s a lot more of the 60s TV series here than I remembered... https://t.co/s3pxlg7jfQ"
41,"Ya por último, les dejo unos 5 Comics de Batman como recomendación:
- Batman: Año 1.
- Batman: The Long Halloween.
- Batman: Hush.
- Batman: The Dark Night Returns.
- Batman: Under The Red Hood."
42,"10. Saga of the Swamp Thing (Alan Moore)
9. For the Man Who Has Everything
8. Blackest Night
7. The Dark Knight Returns 
6. Saga
5. Invincible
4. Batman: Year One
3. Kingdom Come
2. The New Frontier
1. All-star Superman"
43,"30. The Infinity Gauntlet
29. Crisis on Infinite Earths
28. Batman: A Lonely Place of Dying 
27. The Dark Phoenix Saga  
26. The Last Ronin 
25. DCeased
24. Flash: The Return of Barry Allen
23. Sinestro Corps War 
22. The Night Gwen Stacy Died
21. The Sandman"
44,"While a thousand people suggest checking out The Dark Knight Returns and and The Long Halloween, peep what the cool kids are suggesting.
#BatmanDay 

Batman:                                       Batman:
Creature of the night                 The Imposter https://t.co/1YLKs3o1hG"
45,"the show is likely going to be based off of the comic “ daredevil : born again “ , as its a direct quote .
the comic was written by frank miller , who also wrote “ the dark night returns “ , “ batman : year one “ and “ sin city “ . so we can expect a similair concept ."
46,"37 films watched in August. The Top 5 first time watches were.

Saturday Night and Sunday Morning (1960)

Nope (2022)
Prey (2022)
The Duellists (1977)
Batman: The Dark Knight Returns, Part 2 (2013)

#FilmTwitter https://t.co/ZYaGuVG828"
47,@LicenceToQueer @TobyStephensInV It certainly would ….. and to think we almost had Clint Eastwood play Bruce Wayne/Batman in a proposed R4 adaptation of The Dark Night Returns
48,"Estoy leyendo Batman: The Dark Night Returns de Frank Miller, que es una obra maestra. Me hace muchísima gracia que a Batman lo llaman ""The Batman"", como si fuese un cani. Ehhh mira por ahí va el baaaatman illo ke pasa cabesa te echa unos litro o ke. 🤣🤣🤣🤣"
49,"The Dark Night Returns
Return of the Joker
Batman vs TMNT
The Batman vs Dracula https://t.co/pxJU3RPndR"
50,@madmanofmagic Tim Burton only directed Batman (1989) and Batman Returns. Of course I’ve seen these. I hadn’t see any of the Dark Knight trilogy until last night.
51,"@SimonMAGNY2 @CamaradeFormica En général car serait Watchmen
The Golden age
Le mort de Batman
Batman The Dark Night Returns
Batman créature de la nuit 
Klaus
Un long Halloween
Alerte victoire
Et les comics spider man"
52,@Zeke_Dude Carrie Kelly was the first female Robin in Frank Miller's Batman: The Dark Night Returns and souled ones are Non-Redheads because they have a soul where redheads don't.
53,"@HauntingSound Oops.  It was David Mazzucchelli that did the art for Batman:Year One and Frank Miller and Lynn Varley did the Art for Batman: The Dark Night returns.
I like the Year One Catwoman cuz she's smaller built and you can actually see someone like her sneaking up buildings. https://t.co/b5uauqfP7H"
54,Good Night! Friendly reminder batman is menacing and the speech he gives to supes in the dark knight returns is ungodly. https://t.co/LYCgwZ5UCc
55,"@ODPHpodcast @SWOProductions @MultiverseOfBad @3fnpodcast @MetalcoreNerds @hopsgeeknews @JVDofTVD @EastCoastAvngrs @30AndNerdyPod @SoWizardPodcast @thepintpodcast @CBCCPodcast @JJs_Comic_Stuff @CaptionedLife @martystoked Marvel
- House of M
- Old Man Logan 

DC
- The Dark Knight Returns 
- Batman Night of the Owls"
56,@DrGBuckingham One of the problems with losing weight is that everyone asks that question wanting the answer to be a diet that sounds like the surname of a man who would play Batman.  MICHAEL PALEO IS THE DARK NIGHT. CHRISTOPHER KETO RETURNS AS BRUCE WAYNE.
57,"@Primeguy984 That is quite curious. I haven't watched much of DC universe but Joker has always seemed cool. I think I watched ""Batman The Dark Night Returns"" and that one was pretty cool too I might rewatch it. Do you follow the DC universe?"
58,"@ComicsLecteur @Ohthatsissa @Yann_art1 @ilyes4213 @RaitoArashii The Dark Night Return
Blackest Night 
VenomVerse
Death Métal 
Batman 
Immortal Hulk"
59,Beast Kingdom 8ction Batman The Dark Night Returns figure set is in stock at EE with 10% off when you use code CEEOF and free shipping #ad https://t.co/poZ0cMppD0 https://t.co/CibslvSiMX
60,"(1) These are Todd McFarlane's depiction of ""The Dark Knight Returns"" from the 1980's. The ""original"" Batman vs. Superman story. I re-watched this the other night and it was surreal. To see the people as they were, they were a great depiction of people today. Batman represented.. https://t.co/2LCqfirDEV"
61,"@YoleocomicsDC Si pero no para acción si no como mentor, así que si sería una tontería que volviera a la acción, Ben affleck por otro lado aún que si sea grande su batman si tiene mucho sentido y en la acción es el mejor, es como the dark night returns"
62,"Upon a rewatch of the Batman movies an updated ranking 

1). The Dark Night
2). The Batman
3). Batman Begins
4). The Dark Night Rises
5). Batman (1989)
6). The Lego Batman Movie
8). Batman Returns
9). Batman &amp; Robin
10). Batman Forever"
63,@RikCresp En vrai le Batman qui tue ça pas gêné car j'adore The Dark Night Returns. Après pour son Superman j'ai trouvé ça sympa de voir un Clark un peu plus terre à terre au niveau des émotions même si je peux comprendre qu'on puisse pas aimer. Après pour Flash perso j'ai pas trop d'avis
64,@soffinu3 Toda la vida! Y su traje también… algunos se quejaban de que era un “Batman gordo” y está nio basado en The Dark Night Returns que literalmente es un Batman viejo y gordo 🤣
